Мафтир, Шмот 24:15-24:18

Трума, Шмот 21:1-24:18
Алия 1, Шмот 25:1-25:16
Алия 2, Шмот 25:17-25:40
Алия 3, Шмот 26:1-26:14
Алия 4, Шмот 26:15-26:30
Алия 5, Шмот 26:31-26:37
Алия 6, Шмот 27:1-27:8
Алия 7, Шмот 27:9-27:19
Мафтир, Шмот 27:17-27:19

Тэцавэ, Шмот 27:20-30:10
Алия 1, Шмот 27:20-28:12
Алия 2, Шмот 28:13-28:30
Алия 3, Шмот 28:31-28:43
Алия 4, Шмот 29:1-29:18
Алия 5, Шмот 29:19-29:37
Алия 6, Шмот 29:38-29:46
Алия 7, Шмот 30:1-30:10
Мафтир, Шмот 30:8-30:10

Ки-Тиса, Шмот 30:11-34:35
Алия 1, Шмот 30:11-31:17
Алия 2, Шмот 31:18-33:11
Алия 3, Шмот 33:12-33:16
Алия 4, Шмот 33:17-33:23
Алия 5, Шмот 34:1-34:9
Алия 6, Шмот 34:10-34:26
Алия 7, Шмот 34:27-34:35
Мафтир, Шмот 34:33-34:35

Вайакгел, Шмот 35:1-38:20
Алия 1, Шмот 35:1-35:20
Алия 2, Шмот 35:21-35:29
Алия 3, Шмот 35:30-36:7
Алия 4, Шмот 36:8-36:19
Алия 5, Шмот 36:20-37:16
Алия 6, Шмот 37:17-37:29
Алия 7, Шмот 38:1-38:20
Мафтир, Шмот 38:18-38:20

Пэкудэй, Шмот 38:21-40:38
Алия 1, Шмот 38:21-39:1
Алия 2, Шмот 39:2-39:21
Алия 3, Шмот 39:22-39:32
Алия 4, Шмот 39:33-39:43
Алия 5, Шмот 40:1-40:16
Алия 6, Шмот 40:17-40:27
Алия 7, Шмот 40:28-40:38
Мафтир, Шмот 40:34-40:38

Вайикра, Вайикра 1:1-5:26
Алия 1, Вайикра 1:1-1:13
Алия 2, Вайикра 1:14-2:6
Алия 3, Вайикра 2:7-2:16
Алия 4, Вайикра 3:1-3:17
Алия 5, Вайикра 4:1-4:26
Алия 6, Вайикра 4:27-5:10
Алия 7, Вайикра 5:11-5:26
Мафтир, Вайикра 5:24-5:26

Цав, Вайикра 6:1-8:36
Алия 1, Вайикра 6:1-6:11
Алия 2, Вайикра 6:12-7:10
Алия 3, Вайикра 7:11-7:38
Алия 4, Вайикра 8:1-8:13
